Name	Description	URL	MB	Parameters	Downloads	Last Updated
llama3.2-vision	Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.	https://ollama.com/library/llama3.2-vision	56320	90b	910.7K	2 months ago
starcoder2	StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters.	https://ollama.com/library/starcoder2	1740.8	3b	723.3K	4 months ago
starcoder2	StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters.	https://ollama.com/library/starcoder2	4096	7b	723.3K	4 months ago
starcoder2	StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters.	https://ollama.com/library/starcoder2	9318.4	15b	723.3K	4 months ago
mixtral	A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.	https://ollama.com/library/mixtral	26624	8x7b	528.2K	4 weeks ago
mixtral	A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.	https://ollama.com/library/mixtral	81920	8x22b	528.2K	4 weeks ago
snowflake-arctic-embed	A suite of text embedding models by Snowflake, optimized for performance.	https://ollama.com/library/snowflake-arctic-embed	46	22m	508.2K	9 months ago
snowflake-arctic-embed	A suite of text embedding models by Snowflake, optimized for performance.	https://ollama.com/library/snowflake-arctic-embed	67	33m	508.2K	9 months ago
snowflake-arctic-embed	A suite of text embedding models by Snowflake, optimized for performance.	https://ollama.com/library/snowflake-arctic-embed	219	110m	508.2K	9 months ago
snowflake-arctic-embed	A suite of text embedding models by Snowflake, optimized for performance.	https://ollama.com/library/snowflake-arctic-embed	274	137m	508.2K	9 months ago
snowflake-arctic-embed	A suite of text embedding models by Snowflake, optimized for performance.	https://ollama.com/library/snowflake-arctic-embed	669	335m	508.2K	9 months ago
dolphin-mixtral	Uncensored, 8x7b and 8x22b fine-tuned models based on the Mixtral mixture of experts models that excels at coding tasks. Created by Eric Hartford.	https://ollama.com/library/dolphin-mixtral	26624	8x7b	475.5K	4 weeks ago
dolphin-mixtral	Uncensored, 8x7b and 8x22b fine-tuned models based on the Mixtral mixture of experts models that excels at coding tasks. Created by Eric Hartford.	https://ollama.com/library/dolphin-mixtral	81920	8x22b	475.5K	4 weeks ago
deepseek-coder-v2	An open-source Mixture-of-Experts code language model that achieves performance comparable to GPT4-Turbo in code-specific tasks.	https://ollama.com/library/deepseek-coder-v2	9113.6	16b	467.5K	4 months ago
deepseek-coder-v2	An open-source Mixture-of-Experts code language model that achieves performance comparable to GPT4-Turbo in code-specific tasks.	https://ollama.com/library/deepseek-coder-v2	136192	236b	467.5K	4 months ago
codegemma	CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.	https://ollama.com/library/codegemma	1638.4	2b	464.6K	6 months ago
codegemma	CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.	https://ollama.com/library/codegemma	5120	7b	464.6K	6 months ago
phi	Phi-2: a 2.7B language model by Microsoft Research that demonstrates outstanding reasoning and language understanding capabilities.	https://ollama.com/library/phi	1638.4	2.7b	461.4K	12 months ago
llama2-uncensored	Uncensored Llama 2 model by George Sung and Jarrad Hope.	https://ollama.com/library/llama2-uncensored	3891.2	7b	418.4K	15 months ago
llama2-uncensored	Uncensored Llama 2 model by George Sung and Jarrad Hope.	https://ollama.com/library/llama2-uncensored	39936	70b	418.4K	15 months ago
deepseek-coder	DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.	https://ollama.com/library/deepseek-coder	776	1.3b	404.3K	13 months ago
deepseek-coder	DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.	https://ollama.com/library/deepseek-coder	3891.2	6.7b	404.3K	13 months ago
deepseek-coder	DeepSeek Coder is a capable coding model trained on two trillion code and natural language tokens.	https://ollama.com/library/deepseek-coder	19456	33b	404.3K	13 months ago
wizardlm2	State of the art large language model from Microsoft AI with improved performance on complex chat, multilingual, reasoning and agent use cases.	https://ollama.com/library/wizardlm2	4198.4	7b	310.9K	9 months ago
wizardlm2	State of the art large language model from Microsoft AI with improved performance on complex chat, multilingual, reasoning and agent use cases.	https://ollama.com/library/wizardlm2	81920	8x22b	310.9K	9 months ago
dolphin-mistral	The uncensored Dolphin model based on Mistral that excels at coding tasks. Updated to version 2.8.	https://ollama.com/library/dolphin-mistral	4198.4	7b	304.6K	9 months ago
all-minilm	Embedding models on very large sentence level datasets.	https://ollama.com/library/all-minilm	46	22m	271.6K	8 months ago
all-minilm	Embedding models on very large sentence level datasets.	https://ollama.com/library/all-minilm	67	33m	271.6K	8 months ago
dolphin-llama3	Dolphin 2.9 is a new model with 8B and 70B sizes by Eric Hartford based on Llama 3 that has a variety of instruction, conversational, and coding skills.	https://ollama.com/library/dolphin-llama3	4812.8	8b	270.4K	8 months ago
dolphin-llama3	Dolphin 2.9 is a new model with 8B and 70B sizes by Eric Hartford based on Llama 3 that has a variety of instruction, conversational, and coding skills.	https://ollama.com/library/dolphin-llama3	40960	70b	270.4K	8 months ago
orca-mini	A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware.	https://ollama.com/library/orca-mini	2048	3b	265K	15 months ago
orca-mini	A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware.	https://ollama.com/library/orca-mini	3891.2	7b	265K	15 months ago
orca-mini	A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware.	https://ollama.com/library/orca-mini	7577.6	13b	265K	15 months ago
orca-mini	A general-purpose model ranging from 3 billion parameters to 70 billion, suitable for entry-level hardware.	https://ollama.com/library/orca-mini	39936	70b	265K	15 months ago
command-r	Command R is a Large Language Model optimized for conversational interaction and long context tasks.	https://ollama.com/library/command-r	19456	35b	262.8K	4 months ago
yi	Yi 1.5 is a high-performing, bilingual language model.	https://ollama.com/library/yi	3584	6b	258.4K	8 months ago
yi	Yi 1.5 is a high-performing, bilingual language model.	https://ollama.com/library/yi	5120	9b	258.4K	8 months ago
yi	Yi 1.5 is a high-performing, bilingual language model.	https://ollama.com/library/yi	19456	34b	258.4K	8 months ago
llava-llama3	A LLaVA model fine-tuned from Llama 3 Instruct with better scores in several benchmarks.	https://ollama.com/library/llava-llama3	5632	8b	247.9K	8 months ago
bge-m3	BGE-M3 is a new model from BAAI distinguished for its versatility in Multi-Functionality, Multi-Linguality, and Multi-Granularity.	https://ollama.com/library/bge-m3	1228.8	567m	234.1K	5 months ago
zephyr	Zephyr is a series of fine-tuned versions of the Mistral and Mixtral models that are trained to act as helpful assistants.	https://ollama.com/library/zephyr	4198.4	7b	231.3K	9 months ago
zephyr	Zephyr is a series of fine-tuned versions of the Mistral and Mixtral models that are trained to act as helpful assistants.	https://ollama.com/library/zephyr	81920	141b	231.3K	9 months ago
phi3.5	A lightweight AI model with 3.8 billion parameters with performance overtaking similarly and larger sized models.	https://ollama.com/library/phi3.5	2252.8	3.8b	220.7K	4 months ago
codestral	Codestral is Mistral AI’s first-ever code model designed for code generation tasks.	https://ollama.com/library/codestral	13312	22b	194.7K	4 months ago
starcoder	StarCoder is a code generation model trained on 80+ programming languages.	https://ollama.com/library/starcoder	726	1b	178.6K	15 months ago
starcoder	StarCoder is a code generation model trained on 80+ programming languages.	https://ollama.com/library/starcoder	1843.2	3b	178.6K	15 months ago
starcoder	StarCoder is a code generation model trained on 80+ programming languages.	https://ollama.com/library/starcoder	4403.2	7b	178.6K	15 months ago
starcoder	StarCoder is a code generation model trained on 80+ programming languages.	https://ollama.com/library/starcoder	9216	15b	178.6K	15 months ago
granite-code	A family of open foundation models by IBM for Code Intelligence	https://ollama.com/library/granite-code	2048	3b	175.4K	4 months ago
granite-code	A family of open foundation models by IBM for Code Intelligence	https://ollama.com/library/granite-code	4710.4	8b	175.4K	4 months ago
granite-code	A family of open foundation models by IBM for Code Intelligence	https://ollama.com/library/granite-code	12288	20b	175.4K	4 months ago
granite-code	A family of open foundation models by IBM for Code Intelligence	https://ollama.com/library/granite-code	19456	34b	175.4K	4 months ago
vicuna	General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.	https://ollama.com/library/vicuna	3891.2	7b	170.6K	15 months ago
vicuna	General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.	https://ollama.com/library/vicuna	7577.6	13b	170.6K	15 months ago
vicuna	General use chat model based on Llama and Llama 2 with 2K to 16K context sizes.	https://ollama.com/library/vicuna	18432	33b	170.6K	15 months ago
mistral-openorca	Mistral OpenOrca is a 7 billion parameter model, fine-tuned on top of the Mistral 7B model using the OpenOrca dataset.	https://ollama.com/library/mistral-openorca	4198.4	7b	163.9K	15 months ago
smollm	A family of small models with 135M, 360M, and 1.7B parameters, trained on a new high-quality dataset.	https://ollama.com/library/smollm	92	135m	163.4K	5 months ago
smollm	A family of small models with 135M, 360M, and 1.7B parameters, trained on a new high-quality dataset.	https://ollama.com/library/smollm	229	360m	163.4K	5 months ago
smollm	A family of small models with 135M, 360M, and 1.7B parameters, trained on a new high-quality dataset.	https://ollama.com/library/smollm	991	1.7b	163.4K	5 months ago
wizard-vicuna-uncensored	Wizard Vicuna Uncensored is a 7B, 13B, and 30B parameter model based on Llama 2 uncensored by Eric Hartford.	https://ollama.com/library/wizard-vicuna-uncensored	3891.2	7b	161.1K	15 months ago
wizard-vicuna-uncensored	Wizard Vicuna Uncensored is a 7B, 13B, and 30B parameter model based on Llama 2 uncensored by Eric Hartford.	https://ollama.com/library/wizard-vicuna-uncensored	7577.6	13b	161.1K	15 months ago
wizard-vicuna-uncensored	Wizard Vicuna Uncensored is a 7B, 13B, and 30B parameter model based on Llama 2 uncensored by Eric Hartford.	https://ollama.com/library/wizard-vicuna-uncensored	18432	30b	161.1K	15 months ago
qwq	QwQ is an experimental research model focused on advancing AI reasoning capabilities.	https://ollama.com/library/qwq	20480	32b	148.3K	7 weeks ago
llama2-chinese	Llama 2 based model fine tuned to improve Chinese dialogue ability.	https://ollama.com/library/llama2-chinese	3891.2	7b	144.7K	15 months ago
llama2-chinese	Llama 2 based model fine tuned to improve Chinese dialogue ability.	https://ollama.com/library/llama2-chinese	7577.6	13b	144.7K	15 months ago
codegeex4	A versatile model for AI software development scenarios, including code completion.	https://ollama.com/library/codegeex4	5632	9b	132K	6 months ago
openchat	A family of open-source models trained on a wide variety of data, surpassing ChatGPT on various benchmarks. Updated to version 3.5-0106.	https://ollama.com/library/openchat	4198.4	7b	128.7K	12 months ago
aya	Aya 23, released by Cohere, is a new family of state-of-the-art, multilingual models that support 23 languages.	https://ollama.com/library/aya	4915.2	8b	127.9K	8 months ago
aya	Aya 23, released by Cohere, is a new family of state-of-the-art, multilingual models that support 23 languages.	https://ollama.com/library/aya	20480	35b	127.9K	8 months ago
codeqwen	CodeQwen1.5 is a large language model pretrained on a large amount of code data.	https://ollama.com/library/codeqwen	4300.8	7b	124.2K	7 months ago
nous-hermes2	The powerful family of models by Nous Research that excels at scientific discussion and coding tasks.	https://ollama.com/library/nous-hermes2	6246.4	10.7b	119.4K	12 months ago
nous-hermes2	The powerful family of models by Nous Research that excels at scientific discussion and coding tasks.	https://ollama.com/library/nous-hermes2	19456	34b	119.4K	12 months ago
mistral-large	Mistral Large 2 is Mistral's new flagship model that is significantly more capable in code generation, mathematics, and reasoning with 128k context window and support for dozens of languages.	https://ollama.com/library/mistral-large	74752	123b	115.7K	2 months ago
smollm2	SmolLM2 is a family of compact language models available in three size: 135M, 360M, and 1.7B parameters.	https://ollama.com/library/smollm2	271	135m	115.7K	2 months ago
smollm2	SmolLM2 is a family of compact language models available in three size: 135M, 360M, and 1.7B parameters.	https://ollama.com/library/smollm2	726	360m	115.7K	2 months ago
smollm2	SmolLM2 is a family of compact language models available in three size: 135M, 360M, and 1.7B parameters.	https://ollama.com/library/smollm2	1843.2	1.7b	115.7K	2 months ago
command-r-plus	Command R+ is a powerful, scalable large language model purpose-built to excel at real-world enterprise use cases.	https://ollama.com/library/command-r-plus	60416	104b	115.4K	4 months ago
stable-code	Stable Code 3B is a coding model with instruct and code completion variants on par with models such as Code Llama 7B that are 2.5x larger.	https://ollama.com/library/stable-code	1638.4	3b	114.5K	10 months ago
tinydolphin	An experimental 1.1B parameter model trained on the new Dolphin 2.8 dataset by Eric Hartford and based on TinyLlama.	https://ollama.com/library/tinydolphin	637	1.1b	113.3K	11 months ago
glm4	A strong multi-lingual general language model with competitive performance to Llama 3.	https://ollama.com/library/glm4	5632	9b	113.1K	6 months ago
wizardcoder	State-of-the-art code generation model	https://ollama.com/library/wizardcoder	19456	33b	112.9K	12 months ago
qwen2-math	Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).	https://ollama.com/library/qwen2-math	935	1.5b	111.7K	4 months ago
qwen2-math	Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).	https://ollama.com/library/qwen2-math	4505.6	7b	111.7K	4 months ago
qwen2-math	Qwen2 Math is a series of specialized math language models built upon the Qwen2 LLMs, which significantly outperforms the mathematical capabilities of open-source models and even closed-source models (e.g., GPT4o).	https://ollama.com/library/qwen2-math	41984	72b	111.7K	4 months ago
stablelm2	Stable LM 2 is a state-of-the-art 1.6B and 12B parameter language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch.	https://ollama.com/library/stablelm2	983	1.6b	103.8K	8 months ago
stablelm2	Stable LM 2 is a state-of-the-art 1.6B and 12B parameter language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch.	https://ollama.com/library/stablelm2	7168	12b	103.8K	8 months ago
bakllava	BakLLaVA is a multimodal model consisting of the Mistral 7B base model augmented with the LLaVA  architecture.	https://ollama.com/library/bakllava	4812.8	7b	103.5K	13 months ago
reflection	A high-performing model trained with a new technique called Reflection-tuning that teaches a LLM to detect mistakes in its reasoning and correct course.	https://ollama.com/library/reflection	40960	70b	101K	4 months ago
deepseek-llm	An advanced language model crafted with 2 trillion bilingual tokens.	https://ollama.com/library/deepseek-llm	4096	7b	97.5K	13 months ago
deepseek-llm	An advanced language model crafted with 2 trillion bilingual tokens.	https://ollama.com/library/deepseek-llm	38912	67b	97.5K	13 months ago
moondream	moondream2 is a small vision language model designed to run efficiently on edge devices.	https://ollama.com/library/moondream	1740.8	1.8b	95.2K	8 months ago
llama3-gradient	This model extends LLama-3 8B's context length from 8k to over 1m tokens.	https://ollama.com/library/llama3-gradient	4812.8	8b	95.2K	8 months ago
llama3-gradient	This model extends LLama-3 8B's context length from 8k to over 1m tokens.	https://ollama.com/library/llama3-gradient	40960	70b	95.2K	8 months ago
wizard-math	Model focused on math and logic problems	https://ollama.com/library/wizard-math	4198.4	7b	94.9K	13 months ago
wizard-math	Model focused on math and logic problems	https://ollama.com/library/wizard-math	7577.6	13b	94.9K	13 months ago
wizard-math	Model focused on math and logic problems	https://ollama.com/library/wizard-math	39936	70b	94.9K	13 months ago
neural-chat	A fine-tuned model based on Mistral with good coverage of domain and language.	https://ollama.com/library/neural-chat	4198.4	7b	94.5K	13 months ago
llama3-chatqa	A model from NVIDIA based on Llama 3 that excels at conversational question answering (QA) and retrieval-augmented generation (RAG).	https://ollama.com/library/llama3-chatqa	4812.8	8b	86K	8 months ago
llama3-chatqa	A model from NVIDIA based on Llama 3 that excels at conversational question answering (QA) and retrieval-augmented generation (RAG).	https://ollama.com/library/llama3-chatqa	40960	70b	86K	8 months ago
sqlcoder	SQLCoder is a code completion model fined-tuned on StarCoder for SQL generation tasks	https://ollama.com/library/sqlcoder	4198.4	7b	84.6K	11 months ago
sqlcoder	SQLCoder is a code completion model fined-tuned on StarCoder for SQL generation tasks	https://ollama.com/library/sqlcoder	9216	15b	84.6K	11 months ago
xwinlm	Conversational model based on Llama 2 that performs competitively on various benchmarks.	https://ollama.com/library/xwinlm	3891.2	7b	82.6K	14 months ago
xwinlm	Conversational model based on Llama 2 that performs competitively on various benchmarks.	https://ollama.com/library/xwinlm	7577.6	13b	82.6K	14 months ago
nous-hermes	General use models based on Llama and Llama 2 from Nous Research.	https://ollama.com/library/nous-hermes	3891.2	7b	80.1K	15 months ago
nous-hermes	General use models based on Llama and Llama 2 from Nous Research.	https://ollama.com/library/nous-hermes	7577.6	13b	80.1K	15 months ago
deepseek-v2	A strong, economical, and efficient Mixture-of-Experts language model.	https://ollama.com/library/deepseek-v2	9113.6	16b	79.9K	7 months ago
deepseek-v2	A strong, economical, and efficient Mixture-of-Experts language model.	https://ollama.com/library/deepseek-v2	136192	236b	79.9K	7 months ago
phind-codellama	Code generation model based on Code Llama.	https://ollama.com/library/phind-codellama	19456	34b	79.2K	13 months ago
dolphincoder	A 7B and 15B uncensored variant of the Dolphin model family that excels at coding, based on StarCoder2.	https://ollama.com/library/dolphincoder	4300.8	7b	78.7K	9 months ago
dolphincoder	A 7B and 15B uncensored variant of the Dolphin model family that excels at coding, based on StarCoder2.	https://ollama.com/library/dolphincoder	9318.4	15b	78.7K	9 months ago
yarn-llama2	An extension of Llama 2 that supports a context of up to 128k tokens.	https://ollama.com/library/yarn-llama2	3891.2	7b	77.1K	14 months ago
yarn-llama2	An extension of Llama 2 that supports a context of up to 128k tokens.	https://ollama.com/library/yarn-llama2	7577.6	13b	77.1K	14 months ago
minicpm-v	A series of multimodal LLMs (MLLMs) designed for vision-language understanding.	https://ollama.com/library/minicpm-v	5632	8b	75.4K	2 months ago
